X,Y,objectid,globalid,business_name,address_help_your_customer_find,phone_number_to_place_an_order,business_website,are_you_open_for,provide_details_for_you_busines,CreationDate,EditDate
-122.3187988,47.61336161,3,12aba10d-7825-45cb-ac38-46b22e670698,Bateau,"1040 E Union St, Seattle, WA 98122",206-900-8699,https://www.restaurantbateau.com/,curbside,"Order can be place between 3-7 pm (up to 3 pm for day of)
Curbside pick up is between 4-8 pm",2020/03/27 01:38:15.543+00,2020/06/04 15:01:22.775+00
-122.3144254,47.6147756,4,4b271d79-3283-4e16-bd59-cfadca726051,Nue,1519 14th Ave,206-257-0312,https://www.nueseattle.com/,"takeout,delivery,third_party_delivery_service",Open 7 days a week,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.3280836,47.61443553,5,f4928649-888c-41be-9726-4eb86ae05a08,Terra Plata,"1501 Melrose Ave Seattle, WA 98122",(206) 325-1501,http://www.terraplata.com/,"takeout,curbside,third_party_delivery_service",,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.3267947,47.59859928,6,0745b48d-87a3-4c4e-9910-24340784a738,A+ Hong Kong Kitchen,"419 6th Ave S, Seattle, WA 98104",206-682-1267,https://www.facebook.com/aplushkkitchen/,"takeout,third_party_delivery_service",Hours 11 am- 10 pm everyday except closed Tuesdays,2020/03/27 01:38:15.543+00,2020/06/04 14:54:49.922+00
-122.3214255,47.581182,7,0afb2fdb-9ef1-430a-8757-beafc610fd24,Gourmondo,2415 Airport Way S. Seattle WA 98134,206-587-0190,https://catering.gourmondoco.com/index.cfm?fuseaction=order&action=menu-category&category-id=191,delivery,"During the month of March, we will be taking orders up till 2PM business day prior for next day delivery. ",2020/03/27 01:38:15.543+00,2020/05/11 15:33:25.276+00
-122.3869806,47.56219246,8,70882582-e054-4ccc-970e-2adf48d5968d,Lady Jaye,"4523 California Ave SW, Seattle, WA 98116",206-457-4029,https://www.ladyjaye.com/,takeout,Smokehouse Lady Jaye is offering takeout family meals.,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.3488405,47.61399327,10,995642d3-0993-425e-a1bc-477d318f2326,Buddha Bruddah - Truck,"2460 Western Ave, Seattle, WA 98121",206-448-2233,https://www.buddhabruddah.com/,"takeout,delivery,third_party_delivery_service",,2020/03/27 01:38:15.543+00,2020/06/04 14:45:56.807+00
-122.3864955,47.56001855,11,ba9e2d67-2f4e-43e4-80b2-919e3040ecbc,Falafel Salam,"4746 California Ave SW, Seattle, WA 98116",(206) 325-2335,https://falafelsalam.com/,"takeout,delivery","Currently open for lunch and dinner, Tuesday thru Sunday, with online ordering available @ https://falafelsalam.square.site/fresh-food-menu.",2020/03/27 01:38:15.543+00,2020/06/03 17:14:31.159+00
-122.3864615,47.56083241,12,5fa16cbb-5b81-4a65-adf9-b5308a5ab8e3,Haymaker,"4706 California Ave SW, Seattle, WA 98116",206-946-6994,https://www.haymakerseattle.com/,"takeout,curbside","Dinner from 5pm to 10pm
Weekend Brunch 10am to 2pm",2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
-122.3870877,47.55986876,13,f1e40c22-cbbc-46b5-a2b2-fbf0061628db,Bakery Nouveau - West Seattle,"4737 California Ave SW, Seattle, WA 98116",(206) 923-0534,http://www.bakerynouveau.com/,takeout,Both the Bakery Nouveau in West Seattle and the location in Capitol Hill have designated pick up areas for call-in orders.,2020/03/27 01:38:15.543+00,2020/03/27 01:38:15.543+00
