id,Title,Date,Creator,Description,Provider,Thumbnail,URL
065a866759aec64956970d6dcaac2e1e,Gary Shima depositing Valentines,,,"View of a young boy dressed as a cowboy cupid putting envelopes into a slot on the wall. There is a heart shaped sign around the slot that reads, ”Cupid's Mail Box Drop Valentines Here.” He is also ho…",Loveland Museum,https://dp.la/thumb/065a866759aec64956970d6dcaac2e1e,https://thelovelandmuseum.pastperfectonline.com/photo/6BECC82E-5200-434B-A13F-760330326650
0ad39173dc51c6409da1ce4687fd9256,22535 - Material for Making Valentines - The George C. Whitney Company,,Department of Commerce. Patent Office. (1925 - 1975),"This file unit contains the product registration application, receipt of registration, and label samples for Material for Making Valentines submitted by The George C. Whitney Company of Worcester, Mas…",National Archives at College Park - Textual Reference,https://dp.la/thumb/0ad39173dc51c6409da1ce4687fd9256,http://catalog.archives.gov/id/84565111
0ee724a5e84f998031126b015de5d2c7,Valentines Card from Mother to Frank R. Hutton Jr.,,,,University of North Carolina at Wilmington,https://dp.la/thumb/0ee724a5e84f998031126b015de5d2c7,http://cdm17190.contentdm.oclc.org/cdm/ref/collection/hutton/id/446
10bc9cc508fbea9e2d3246c1c42cba69,[Valentines Postcard to John Todd Willis Jr.],,,"Postcard at Valentine's Day addressed to John Todd Willis, Jr., Waco, Texas, from Robert Evans, Jr., Richard Evans, and Dorothy Evans from Liberty, Texas. 1 postcard : col. ; 9 x 14 cm.",Private Collection of T. B. Willis,https://dp.la/thumb/10bc9cc508fbea9e2d3246c1c42cba69,https://texashistory.unt.edu/ark:/67531/metapth1286210/
14553d20eb31d1a96bd113bd61d8d78a,Valentine from Yolande Du Bois Williams to W. E. B. Du Bois,,"Du Bois, Yolande, Du Bois, W. E. B. (William Edward Burghardt), 1868-1963",This date is inferred. Wishing him a happy Valentine's Day and noting she is feeling much better.,"Special Collections and University Archives, University of Massachusetts Amherst Libraries",https://dp.la/thumb/14553d20eb31d1a96bd113bd61d8d78a,https://credo.library.umass.edu/view/full/mums312-b150-i050
1ae289cf3928e0f933fd6a49d0c888b9,"Valentines, embossed",,"Norcross, Arthur Dickinson, d. 1968, Tuck, Raphael, fl. 1880s, Norcross Greeting Card Company (New York (N.Y.)), Rust Craft Publishers (Boston, Mass.), Rust, Fred Winslow, 1877?-1949, Prang, Louis, fl. 1880-1900, Chase, Ernest Dudley, fl. 1920s, Rust Craft Greeting Card Company (Dedham (Mass.))",,"Archives Center, National Museum of American History",https://dp.la/thumb/1ae289cf3928e0f933fd6a49d0c888b9,http://collections.si.edu/search/results.htm?q=record_ID=NMAH.AC.0058_ref417&repo=DPLA
372b58abcc7874ab3863fd99ec00ac97,Leather and Lace Valentines Day Party Advertisement,,Albany T.V. Entertainers Club,,"M.E. Grenander Department of Special Collections & Archives, University at Albany",https://dp.la/thumb/372b58abcc7874ab3863fd99ec00ac97,https://www.digitaltransgenderarchive.net/files/b8515n409
37b75b3261ff1fc90e5c70a28ea5cebd,"Valentine's Day card, depicting a scene of a front hall and open door of a house, ca. 1923",,Rust Craft Publishers,"This Valentine's Day card, published by Rust Craft Publishers of Boston, has the inscription ”a valentine for mother” on its cover.",Historic New England,https://dp.la/thumb/37b75b3261ff1fc90e5c70a28ea5cebd,https://gusn.us/194845
4259503175ec4d67ad4bd1d11f343572,Valentine from Virginia M. Alexander to W. E. B. Du Bois,,"Alexander, Virginia Margaret, 1900-1949, Du Bois, W. E. B. (William Edward Burghardt), 1868-1963","This date is inferred. Sending Valentine's Day wishes and noting, ”I want to go to your party!”","Special Collections and University Archives, University of Massachusetts Amherst Libraries",https://dp.la/thumb/4259503175ec4d67ad4bd1d11f343572,https://credo.library.umass.edu/view/full/mums312-b117-i034
4dd876bdf9610df1358d44d04689608a,Valentines,,"Lazerowitz, Seymour (dealer), Leavister, Olive Mae, 1913-1990",,"Archives Center, National Museum of American History",https://dp.la/thumb/4dd876bdf9610df1358d44d04689608a,http://collections.si.edu/search/results.htm?q=record_ID=NMAH.AC.0376_ref14&repo=DPLA
52f851411e7d6019d826afe43f832c86,Prang's Valentines : Hearts are Trumps!,,,,"The Miriam and Ira D. Wallach Division of Art, Prints and Photographs: Print Collection. The New York Public Library",https://dp.la/thumb/52f851411e7d6019d826afe43f832c86,https://digitalcollections.nypl.org/items/63ee2590-c5c5-012f-a907-58d385a7bc34
59029c52bcb97173bea43f5e5d2c513e,Prang's Valentines,,"Hatfield (Artist), artist, L. Prang & Co., printer",Image of a woman (likely meant to represent Venus) standing on a bed of roses being pulled by a pair of doves accompanied by baby Cupid in the folds of her mantle holding a notched bow and arrow in an…,Huntington Library,https://dp.la/thumb/59029c52bcb97173bea43f5e5d2c513e,http://hdl.huntington.org/cdm/ref/collection/p16003coll4/id/3330
59a6183479abdfabd4781a17d71f399f,Valentines card from Yolande Du Bois to W. E. B. Du Bois,,"Du Bois, Yolande, Du Bois, W. E. B. (William Edward Burghardt), 1868-1963",Wishing Du Bois a happy Valentine's day.,"Special Collections and University Archives, University of Massachusetts Amherst Libraries",https://dp.la/thumb/59a6183479abdfabd4781a17d71f399f,https://credo.library.umass.edu/view/full/mums312-b146-i060
5a83df369188d3be92a0b650c4eb2b0e,Cards (Valentines),,"Archives Center, National Museum of American History, Ravnitzky, Michael",,"Archives Center, National Museum of American History",https://dp.la/thumb/5a83df369188d3be92a0b650c4eb2b0e,http://collections.si.edu/search/results.htm?q=record_ID=NMAH.AC.0404_ref99&repo=DPLA
654564141ff72d4d0cb3190639a17264,Valentines,,"Frueh, Alfred Joseph, 1880-1968",,Archives of American Art,https://dp.la/thumb/654564141ff72d4d0cb3190639a17264,http://collections.si.edu/search/results.htm?q=record_ID=AAA.fruealfr_ref183&repo=DPLA
70fc3bcb5d7844af7f91db0d12323fa6,Valentines,,"Brinley, Putnam",,Archives of American Art,https://dp.la/thumb/70fc3bcb5d7844af7f91db0d12323fa6,http://collections.si.edu/search/results.htm?q=record_ID=AAA.brindani_ref294&repo=DPLA
